game_id,season,week,game_type,team,opponent,team_score,opp_score,win,tie,giveaways,off_third_down_pct,takeaways,opp_third_down_pct,turnover_margin
2023_03_PHI_TB,2023,3,REG,TB,PHI,11.0,25.0,0,0,2.0,0.5,2.0,0.625,0.0
2023_03_LA_CIN,2023,3,REG,CIN,LA,19.0,16.0,1,0,1.0,0.29411764705882354,2.0,0.09090909090909091,1.0
2023_04_DET_GB,2023,4,REG,GB,DET,20.0,34.0,0,0,2.0,0.2727272727272727,1.0,0.4117647058823529,-1.0
2023_04_ATL_JAX,2023,4,REG,JAX,ATL,23.0,7.0,1,0,0.0,0.35714285714285715,3.0,0.5,3.0
2023_04_MIA_BUF,2023,4,REG,BUF,MIA,48.0,20.0,1,0,0.0,0.5,2.0,0.3,2.0
2023_04_MIN_CAR,2023,4,REG,CAR,MIN,13.0,21.0,0,0,1.0,0.35714285714285715,2.0,0.125,1.0
2023_04_DEN_CHI,2023,4,REG,CHI,DEN,28.0,31.0,0,0,2.0,0.5,0.0,0.5454545454545454,-2.0
2023_04_BAL_CLE,2023,4,REG,CLE,BAL,3.0,28.0,0,0,3.0,0.25,1.0,0.3333333333333333,-2.0
2023_04_PIT_HOU,2023,4,REG,HOU,PIT,30.0,6.0,1,0,0.0,0.5,1.0,0.42857142857142855,1.0
2023_04_LA_IND,2023,4,REG,IND,LA,23.0,29.0,0,0,1.0,0.3,1.0,0.4,0.0
2023_04_TB_NO,2023,4,REG,NO,TB,9.0,26.0,0,0,3.0,0.35714285714285715,1.0,0.5333333333333333,-2.0
2023_04_WAS_PHI,2023,4,REG,PHI,WAS,34.0,31.0,1,0,0.0,0.3333333333333333,0.0,0.47058823529411764,0.0
2023_04_CIN_TEN,2023,4,REG,TEN,CIN,27.0,3.0,1,0,1.0,0.6153846153846154,1.0,0.2222222222222222,0.0
2023_04_LV_LAC,2023,4,REG,LAC,LV,24.0,17.0,1,0,1.0,0.35714285714285715,3.0,0.09090909090909091,2.0
2023_04_NE_DAL,2023,4,REG,DAL,NE,38.0,3.0,1,0,0.0,0.5333333333333333,3.0,0.3076923076923077,3.0
2023_04_ARI_SF,2023,4,REG,SF,ARI,35.0,16.0,1,0,0.0,0.6,0.0,0.5333333333333333,0.0
2023_04_KC_NYJ,2023,4,REG,NYJ,KC,20.0,23.0,0,0,1.0,0.4166666666666667,2.0,0.5833333333333334,1.0
