rank,team,games_played,point_margin_pg,win_pct,giveaways,takeaways,scrimmage_plays,scrimmage_yards,success_count,epa_sum,pass_attempts,completions,pass_yards,pass_tds,ints,redzone_trips,redzone_tds,opp_giveaways,opp_scrimmage_plays,opp_scrimmage_yards,opp_success_count,opp_epa_sum,opp_pass_attempts,opp_completions,opp_pass_yards,opp_pass_tds,opp_ints,opp_redzone_trips,opp_redzone_tds,turnover_margin_pg,off_ypp,def_ypp_allowed,ypp_diff,off_success_rate,def_success_rate_allowed,success_rate_diff,off_passer_rating,def_passer_rating_allowed,passer_rating_diff,off_redzone_td_pct,def_redzone_td_pct_allowed,redzone_td_pct_diff,adj_epa_rating,power_score
1,SF,2,21.0,1.0,1.0,2.0,111,763.0,63.0,33.08219268,56,45.0,492.0,5.0,1.0,8.0,7.0,2.0,112,575.0,47.0,-14.87585655,51,31.0,365.0,1.0,1.0,5.0,1.0,0.5,6.87387387,5.13392857,1.7399453,0.56756757,0.41964286,0.14792471,125.5952381,80.92320261,44.67203548,0.875,0.2,0.675,0.550718,24.21195602
2,SEA,2,13.5,1.0,1.0,4.0,114,667.0,50.0,12.0376088,50,36.0,435.0,4.0,0.0,7.0,3.0,4.0,114,428.0,43.0,-22.63118596,61,40.0,273.0,2.0,4.0,3.0,2.0,1.5,5.85087719,3.75438596,2.09649123,0.43859649,0.37719298,0.06140351,125.0,58.98224044,66.01775956,0.42857143,0.66666667,-0.23809524,0.487325,21.6236162
3,BAL,2,5.5,0.5,2.0,2.0,115,821.0,65.0,25.67866189,54,38.0,559.0,2.0,1.0,6.0,4.0,2.0,117,552.0,51.0,-3.24585985,65,46.0,418.0,2.0,1.0,5.0,4.0,0.0,7.13913043,4.71794872,2.42118172,0.56521739,0.43589744,0.12931996,108.48765432,91.69871795,16.78893637,0.66666667,0.8,-0.13333333,0.421773,18.11609931
4,MIN,2,11.5,1.0,1.0,4.0,110,490.0,38.0,-5.12856568,45,26.0,294.0,3.0,1.0,5.0,4.0,4.0,136,716.0,48.0,-20.36238715,76,41.0,579.0,2.0,2.0,7.0,1.0,1.5,4.45454545,5.26470588,-0.81016043,0.34545455,0.35294118,-0.00748663,90.41666667,76.58991228,13.82675439,0.8,0.14285714,0.65714286,0.32128,11.99129436
5,KC,2,12.0,1.0,1.0,3.0,142,919.0,70.0,28.38154394,74,47.0,566.0,5.0,1.0,10.0,6.0,3.0,109,506.0,47.0,-6.08510364,59,39.0,341.0,2.0,2.0,5.0,3.0,1.0,6.47183099,4.64220183,1.82962915,0.49295775,0.43119266,0.06176509,103.77252252,78.42514124,25.34738128,0.6,0.6,0.0,0.254192,11.8756847
6,CHI,2,8.0,0.5,4.0,2.0,139,849.0,60.0,20.00765191,63,41.0,461.0,2.0,1.0,7.0,4.0,2.0,113,724.0,47.0,7.28292038,58,34.0,504.0,3.0,1.0,5.0,4.0,-1.0,6.10791367,6.40707965,-0.29916598,0.43165468,0.4159292,0.01572547,90.77380952,97.19827586,-6.42446634,0.57142857,0.8,-0.22857143,0.370035,11.78008078
7,CAR,2,4.5,0.5,2.0,7.0,121,822.0,56.0,19.63907474,74,46.0,648.0,6.0,1.0,10.0,7.0,7.0,137,838.0,62.0,-3.05910917,61,39.0,414.0,2.0,3.0,4.0,4.0,2.5,6.79338843,6.11678832,0.67660011,0.46280992,0.45255474,0.01025517,111.76801802,74.07786885,37.69014917,0.7,1.0,-0.3,0.238406,11.34825525
8,LA,2,1.0,0.5,4.0,2.0,112,775.0,55.0,1.42114753,58,39.0,495.0,4.0,2.0,6.0,4.0,2.0,119,561.0,51.0,-12.16478734,66,39.0,336.0,3.0,2.0,5.0,2.0,-1.0,6.91964286,4.71428571,2.20535714,0.49107143,0.42857143,0.0625,102.29885057,75.06313131,27.23571926,0.66666667,0.4,0.26666667,0.203527,9.15275439
9,BUF,2,7.5,1.0,0.0,2.0,118,859.0,59.0,40.60756188,61,40.0,582.0,5.0,0.0,8.0,6.0,2.0,135,736.0,64.0,19.43975544,76,52.0,601.0,6.0,0.0,9.0,7.0,1.0,7.27966102,5.45185185,1.82780917,0.5,0.47407407,0.02592593,123.80464481,118.36622807,5.43841674,0.75,0.77777778,-0.02777778,0.206968,8.72703125
10,NO,2,3.0,0.5,3.0,2.0,150,770.0,65.0,6.90145438,90,62.0,662.0,4.0,2.0,7.0,5.0,2.0,128,681.0,68.0,6.41954467,69,47.0,441.0,3.0,1.0,7.0,5.0,-0.5,5.13333333,5.3203125,-0.18697917,0.43333333,0.53125,-0.09791667,95.69444444,93.93115942,1.76328502,0.71428571,0.71428571,0.0,0.294321,7.46726126
