rank,team,games_played,point_margin_pg,win_pct,giveaways,takeaways,scrimmage_plays,scrimmage_yards,success_count,epa_sum,pass_attempts,completions,pass_yards,pass_tds,ints,redzone_trips,redzone_tds,opp_giveaways,opp_scrimmage_plays,opp_scrimmage_yards,opp_success_count,opp_epa_sum,opp_pass_attempts,opp_completions,opp_pass_yards,opp_pass_tds,opp_ints,opp_redzone_trips,opp_redzone_tds,turnover_margin_pg,off_ypp,def_ypp_allowed,ypp_diff,off_success_rate,def_success_rate_allowed,success_rate_diff,off_passer_rating,def_passer_rating_allowed,passer_rating_diff,off_redzone_td_pct,def_redzone_td_pct_allowed,redzone_td_pct_diff,adj_epa_rating,power_score
11,NE,2,7.0,0.5,5.0,2.0,118,607.0,49.0,-10.89838373,55,37.0,386.0,1.0,4.0,3.0,1.0,2.0,114,521.0,44.0,-20.75102837,64,40.0,387.0,1.0,1.0,3.0,0.0,-1.5,5.1440678,4.57017544,0.57389236,0.41525424,0.38596491,0.02928933,63.14393939,78.05989583,-14.91595644,0.33333333,0.0,0.33333333,0.215878,6.52940492
12,LV,2,13.0,1.0,3.0,5.0,121,604.0,47.0,-8.00553494,59,40.0,413.0,6.0,3.0,7.0,5.0,5.0,112,569.0,39.0,-27.98133161,54,30.0,412.0,1.0,3.0,5.0,3.0,1.0,4.99173554,5.08035714,-0.08862161,0.38842975,0.34821429,0.04021547,100.45903955,63.19444444,37.2645951,0.71428571,0.6,0.11428571,0.093577,6.08715755
13,DET,2,-4.5,0.5,1.0,3.0,135,724.0,63.0,14.43941113,77,52.0,533.0,6.0,0.0,9.0,7.0,3.0,152,918.0,74.0,26.04790941,87,55.0,658.0,6.0,2.0,10.0,9.0,1.0,5.36296296,6.03947368,-0.67651072,0.46666667,0.48684211,-0.02017544,113.17640693,99.68869732,13.48770961,0.77777778,0.9,-0.12222222,0.165074,6.07879325
14,NYJ,2,5.0,0.5,0.0,2.0,131,655.0,57.0,2.56348276,64,46.0,462.0,1.0,0.0,6.0,4.0,2.0,99,394.0,38.0,-16.92163356,61,35.0,285.0,3.0,0.0,5.0,3.0,1.0,5.0,3.97979798,1.02020202,0.4351145,0.38383838,0.05127612,97.265625,85.75819672,11.50742828,0.66666667,0.6,0.06666667,0.089639,5.4160637
15,ARI,2,-6.0,0.5,1.0,3.0,116,547.0,49.0,-5.34023104,65,44.0,372.0,2.0,1.0,6.0,3.0,3.0,118,649.0,51.0,-3.48765046,53,36.0,444.0,4.0,1.0,8.0,5.0,1.0,4.71551724,5.5,-0.78448276,0.42241379,0.43220339,-0.0097896,86.18589744,110.88836478,-24.70246734,0.5,0.625,-0.125,0.12466,3.41895155
16,GB,2,-7.0,0.5,3.0,1.0,117,618.0,42.0,-22.82238904,71,37.0,532.0,4.0,1.0,8.0,3.0,1.0,130,529.0,48.0,-8.69378748,65,42.0,398.0,4.0,1.0,7.0,6.0,-1.0,5.28205128,4.06923077,1.21282051,0.35897436,0.36923077,-0.01025641,89.64201878,95.54487179,-5.90285302,0.375,0.85714286,-0.48214286,0.069836,1.46734412
17,JAX,2,8.5,0.5,1.0,3.0,108,631.0,56.0,15.30678254,52,35.0,434.0,4.0,1.0,4.0,3.0,3.0,105,667.0,49.0,-2.05983683,53,38.0,493.0,2.0,2.0,7.0,2.0,1.0,5.84259259,6.35238095,-0.50978836,0.51851852,0.46666667,0.05185185,110.57692308,97.44496855,13.13195452,0.75,0.28571429,0.46428571,-0.10544,-1.3309068
18,CIN,2,10.0,1.0,1.0,4.0,120,620.0,47.0,-5.42825436,66,45.0,461.0,3.0,1.0,6.0,3.0,4.0,127,657.0,49.0,-28.24361264,82,53.0,569.0,0.0,0.0,8.0,2.0,1.5,5.16666667,5.17322835,-0.00656168,0.39166667,0.38582677,0.0058399,96.84343434,84.85772358,11.98571077,0.5,0.25,0.25,-0.118635,-2.42553847
19,DEN,2,-7.0,0.5,3.0,2.0,102,572.0,44.0,-8.84784115,59,39.0,419.0,2.0,2.0,7.0,3.0,2.0,119,664.0,51.0,7.90724034,56,32.0,373.0,2.0,2.0,7.0,4.0,-0.5,5.60784314,5.57983193,0.0280112,0.43137255,0.42857143,0.00280112,83.93361582,74.47916667,9.45444915,0.42857143,0.57142857,-0.14285714,-0.093754,-3.03603925
20,IND,2,-10.5,0.0,3.0,1.0,116,580.0,52.0,-3.05338284,62,41.0,376.0,2.0,2.0,6.0,5.0,1.0,138,1032.0,73.0,37.14722874,71,49.0,706.0,4.0,0.0,9.0,6.0,-1.0,5.0,7.47826087,-2.47826087,0.44827586,0.52898551,-0.08070965,79.77150538,119.80633803,-40.03483265,0.83333333,0.66666667,0.16666667,0.019386,-3.81619455
21,MIA,2,-18.0,0.0,2.0,2.0,106,543.0,40.0,-11.85057114,50,29.0,417.0,1.0,1.0,5.0,1.0,2.0,111,680.0,54.0,19.13552369,52,41.0,447.0,5.0,2.0,9.0,8.0,0.0,5.12264151,6.12612613,-1.00348462,0.37735849,0.48648649,-0.109128,83.5,118.50961538,-35.00961538,0.2,0.88888889,-0.68888889,-0.006948,-4.29374622
22,HOU,2,-9.5,0.0,2.0,0.0,149,755.0,59.0,-13.76744368,92,56.0,627.0,2.0,0.0,9.0,4.0,0.0,110,678.0,39.0,6.58990508,61,40.0,541.0,4.0,0.0,4.0,2.0,-1.0,5.06711409,6.16363636,-1.09652227,0.39597315,0.35454545,0.0414277,88.45108696,115.53961749,-27.08853053,0.44444444,0.5,-0.05555556,-0.113717,-4.8525778
23,PIT,2,-5.0,0.5,3.0,4.0,128,502.0,45.0,-42.30374491,81,47.0,408.0,1.0,1.0,3.0,1.0,4.0,108,568.0,43.0,-21.85061555,44,26.0,351.0,1.0,3.0,1.0,0.0,0.5,3.921875,5.25925926,-1.33738426,0.3515625,0.39814815,-0.04658565,70.39609053,63.73106061,6.66502993,0.33333333,0.0,0.33333333,-0.166403,-6.26943655
24,LAC,2,-12.0,0.0,5.0,1.0,113,578.0,42.0,-28.62874649,54,32.0,401.0,2.0,3.0,5.0,4.0,1.0,126,704.0,54.0,4.4458709,66,46.0,530.0,4.0,1.0,8.0,4.0,-2.0,5.11504425,5.58730159,-0.47225734,0.37168142,0.42857143,-0.05689001,71.60493827,107.51262626,-35.90768799,0.8,0.5,0.3,-0.167226,-9.55434044
25,TEN,2,-8.5,0.0,1.0,2.0,100,486.0,44.0,-1.98634112,52,32.0,323.0,1.0,0.0,5.0,3.0,2.0,132,711.0,59.0,12.90728075,61,45.0,479.0,2.0,2.0,7.0,5.0,0.5,4.86,5.38636364,-0.52636364,0.44,0.4469697,-0.0069697,85.65705128,93.54508197,-7.88803069,0.6,0.71428571,-0.11428571,-0.293551,-10.13284769
26,ATL,2,-19.0,0.0,7.0,1.0,124,524.0,46.0,-50.01315375,54,30.0,288.0,1.0,5.0,0.0,0.0,1.0,120,611.0,46.0,-10.08551415,77,47.0,508.0,4.0,0.0,8.0,4.0,-3.0,4.22580645,5.09166667,-0.86586022,0.37096774,0.38333333,-0.01236559,38.19444444,97.754329,-59.55988456,,0.5,,-0.280848,-14.07774284
27,PHI,2,3.0,1.0,2.0,0.0,123,661.0,47.0,6.42810832,62,40.0,467.0,5.0,2.0,7.0,5.0,0.0,119,586.0,51.0,7.89920564,55,31.0,347.0,2.0,0.0,7.0,5.0,-1.0,5.37398374,4.92436975,0.44961399,0.38211382,0.42857143,-0.04645761,100.67204301,87.46212121,13.2099218,0.71428571,0.71428571,0.0,-0.425815,-15.28700091
28,NYG,2,-7.0,0.5,2.0,3.0,120,581.0,54.0,0.37123744,61,37.0,361.0,3.0,1.0,6.0,4.0,3.0,108,728.0,55.0,27.71576994,64,44.0,502.0,6.0,2.0,6.0,6.0,0.5,4.84166667,6.74074074,-1.89907407,0.45,0.50925926,-0.05925926,86.8510929,110.28645833,-23.43536544,0.66666667,1.0,-0.33333333,-0.419472,-16.43196338
29,DAL,2,4.5,0.5,1.0,2.0,106,576.0,54.0,23.71390775,65,48.0,454.0,6.0,1.0,7.0,6.0,2.0,132,788.0,73.0,28.58324325,64,46.0,437.0,5.0,0.0,7.0,5.0,0.5,5.43396226,5.96969697,-0.53573471,0.50943396,0.5530303,-0.04359634,117.08333333,116.47135417,0.61197917,0.85714286,0.71428571,0.14285714,-0.471465,-16.52431532
30,CLE,2,-10.0,0.5,2.0,1.0,102,541.0,45.0,-8.53280556,52,40.0,443.0,3.0,1.0,5.0,1.0,1.0,115,676.0,56.0,8.86809184,57,39.0,427.0,5.0,1.0,6.0,3.0,-0.5,5.30392157,5.87826087,-0.5743393,0.44117647,0.48695652,-0.04578005,112.90064103,112.24415205,0.65648898,0.2,0.5,-0.3,-0.467545,-17.12409208
31,TB,2,-5.0,0.0,5.0,1.0,113,596.0,48.0,-18.50070742,62,44.0,398.0,1.0,1.0,8.0,3.0,1.0,115,621.0,52.0,0.39971818,65,49.0,492.0,3.0,1.0,8.0,3.0,-2.0,5.27433628,5.4,-0.12566372,0.42477876,0.45217391,-0.02739515,86.62634409,105.41666667,-18.79032258,0.375,0.375,0.0,-0.462623,-18.11275448
32,WAS,2,-9.5,0.0,1.0,0.0,135,684.0,63.0,8.67907635,70,41.0,371.0,4.0,0.0,6.0,4.0,0.0,105,652.0,48.0,15.86089925,56,40.0,482.0,7.0,0.0,7.0,5.0,-0.5,5.06666667,6.20952381,-1.14285714,0.46666667,0.45714286,0.00952381,92.02380952,137.05357143,-45.0297619,0.66666667,0.71428571,-0.04761905,-0.533151,-20.01776366
