rank,team,games_played,point_margin_pg,win_pct,giveaways,takeaways,scrimmage_plays,scrimmage_yards,success_count,epa_sum,pass_attempts,completions,pass_yards,pass_tds,ints,redzone_trips,redzone_tds,opp_giveaways,opp_scrimmage_plays,opp_scrimmage_yards,opp_success_count,opp_epa_sum,opp_pass_attempts,opp_completions,opp_pass_yards,opp_pass_tds,opp_ints,opp_redzone_trips,opp_redzone_tds,turnover_margin_pg,off_ypp,def_ypp_allowed,ypp_diff,off_success_rate,def_success_rate_allowed,success_rate_diff,off_passer_rating,def_passer_rating_allowed,passer_rating_diff,off_redzone_td_pct,def_redzone_td_pct_allowed,redzone_td_pct_diff,adj_epa_rating,power_score
1,JAX,1,24.0,1.0,0.0,2.0,53,363.0,32.0,17.92289199,23,18.0,245.0,4.0,0.0,2.0,2.0,2.0,49,272.0,22.0,-9.02925433,22,16.0,205.0,1.0,1.0,2.0,0.0,2.0,6.8490566,5.55102041,1.2980362,0.60377358,0.44897959,0.15479399,150.63405797,97.72727273,52.90678524,1.0,0.0,1.0,0.261219,15.84884338
2,BAL,1,18.0,1.0,1.0,2.0,60,509.0,30.0,19.28903459,24,17.0,324.0,1.0,0.0,4.0,3.0,2.0,53,251.0,22.0,-12.78553784,31,19.0,166.0,1.0,1.0,3.0,3.0,1.0,8.48333333,4.73584906,3.74748428,0.5,0.41509434,0.08490566,127.08333333,72.78225806,54.30107527,0.75,1.0,-0.25,0.28136,14.81555462
3,SF,1,20.0,1.0,1.0,2.0,64,379.0,36.0,11.44112393,34,25.0,205.0,3.0,1.0,3.0,2.0,2.0,56,291.0,24.0,-14.81977971,28,17.0,168.0,0.0,1.0,3.0,1.0,1.0,5.921875,5.19642857,0.72544643,0.5625,0.42857143,0.13392857,105.6372549,62.79761905,42.83963585,0.66666667,0.33333333,0.33333333,0.221703,12.84149662
4,KC,1,21.0,1.0,1.0,2.0,64,396.0,27.0,10.52334979,27,15.0,184.0,2.0,1.0,5.0,3.0,2.0,46,177.0,17.0,-15.81725865,28,17.0,131.0,1.0,1.0,2.0,1.0,1.0,6.1875,3.84782609,2.33967391,0.421875,0.36956522,0.05230978,86.03395062,69.19642857,16.83752205,0.6,0.5,0.1,0.25414,11.45939211
5,ARI,1,12.0,1.0,0.0,2.0,69,396.0,34.0,9.94586079,37,27.0,277.0,1.0,0.0,5.0,2.0,2.0,51,268.0,20.0,-12.44190918,27,17.0,209.0,1.0,1.0,3.0,2.0,2.0,5.73913043,5.25490196,0.48422847,0.49275362,0.39215686,0.10059676,103.09684685,83.7191358,19.37771104,0.4,0.66666667,-0.26666667,0.194051,10.74908457
6,NYJ,1,13.0,1.0,0.0,1.0,60,370.0,30.0,10.10100662,24,19.0,215.0,0.0,0.0,3.0,2.0,1.0,49,195.0,22.0,-5.81256495,32,19.0,140.0,1.0,0.0,1.0,1.0,1.0,6.16666667,3.97959184,2.18707483,0.5,0.44897959,0.05102041,103.99305556,80.20833333,23.78472222,0.66666667,1.0,-0.33333333,0.143487,7.90150165
7,NYG,1,8.0,1.0,1.0,1.0,65,399.0,39.0,23.97714871,29,23.0,230.0,3.0,0.0,4.0,4.0,1.0,52,244.0,24.0,11.4748427,34,22.0,175.0,2.0,1.0,3.0,3.0,0.0,6.13846154,4.69230769,1.44615385,0.6,0.46153846,0.13846154,134.1954023,84.80392157,49.39148073,1.0,1.0,0.0,0.074105,7.74380991
8,SEA,1,3.0,1.0,0.0,3.0,47,286.0,19.0,3.08335009,24,17.0,200.0,1.0,0.0,2.0,0.0,3.0,67,277.0,28.0,-7.34509413,33,23.0,178.0,1.0,3.0,2.0,1.0,3.0,6.08510638,4.13432836,1.95077802,0.40425532,0.41791045,-0.01365513,109.72222222,54.86111111,54.86111111,0.0,0.5,-0.5,0.087616,7.01075431
9,LV,1,14.0,1.0,2.0,2.0,64,296.0,27.0,-2.50554505,30,21.0,160.0,3.0,2.0,4.0,3.0,2.0,50,259.0,17.0,-11.79449429,27,15.0,220.0,0.0,1.0,3.0,1.0,0.0,4.625,5.18,-0.555,0.421875,0.34,0.081875,88.19444444,66.89814815,21.2962963,0.75,0.33333333,0.41666667,0.09837,5.84307371
10,CHI,1,22.0,1.0,2.0,2.0,70,552.0,38.0,28.65671864,29,21.0,269.0,2.0,0.0,4.0,4.0,2.0,62,478.0,30.0,11.25522244,38,23.0,361.0,3.0,1.0,4.0,4.0,0.0,7.88571429,7.70967742,0.17603687,0.54285714,0.48387097,0.05898618,124.06609195,107.45614035,16.6099516,1.0,1.0,0.0,0.113923,5.78764298
