rank,team,games_played,point_margin_pg,win_pct,giveaways,takeaways,scrimmage_plays,scrimmage_yards,success_count,epa_sum,pass_attempts,completions,pass_yards,pass_tds,ints,redzone_trips,redzone_tds,opp_giveaways,opp_scrimmage_plays,opp_scrimmage_yards,opp_success_count,opp_epa_sum,opp_pass_attempts,opp_completions,opp_pass_yards,opp_pass_tds,opp_ints,opp_redzone_trips,opp_redzone_tds,turnover_margin_pg,off_ypp,def_ypp_allowed,ypp_diff,off_success_rate,def_success_rate_allowed,success_rate_diff,off_passer_rating,def_passer_rating_allowed,passer_rating_diff,off_redzone_td_pct,def_redzone_td_pct_allowed,redzone_td_pct_diff,adj_epa_rating,power_score
11,CIN,1,6.0,1.0,1.0,4.0,62,352.0,29.0,-0.09673059,35,25.0,254.0,1.0,1.0,5.0,2.0,4.0,51,283.0,24.0,-9.44590727,28,23.0,216.0,0.0,0.0,4.0,2.0,3.0,5.67741935,5.54901961,0.12839975,0.46774194,0.47058824,-0.0028463,89.46428571,98.80952381,-9.3452381,0.4,0.5,-0.1,0.091827,4.51029307
12,BUF,1,5.0,1.0,0.0,2.0,52,410.0,21.0,11.92142885,30,20.0,334.0,2.0,0.0,3.0,1.0,2.0,73,381.0,34.0,5.03026168,38,26.0,274.0,2.0,0.0,5.0,4.0,2.0,7.88461538,5.21917808,2.6654373,0.40384615,0.46575342,-0.06190727,126.25,106.68859649,19.56140351,0.33333333,0.8,-0.46666667,0.080175,3.86989398
13,DET,1,1.0,1.0,1.0,3.0,73,369.0,33.0,0.02991737,39,26.0,206.0,2.0,0.0,5.0,4.0,3.0,86,469.0,36.0,-2.63822361,56,35.0,410.0,3.0,2.0,5.0,4.0,2.0,5.05479452,5.45348837,-0.39869385,0.45205479,0.41860465,0.03345014,96.74145299,87.64880952,9.09264347,0.8,0.8,0.0,0.015543,2.74612129
14,MIN,1,17.0,1.0,1.0,2.0,59,244.0,21.0,-1.15626362,25,15.0,151.0,3.0,1.0,4.0,4.0,2.0,67,419.0,26.0,-11.71332043,42,21.0,387.0,2.0,1.0,4.0,1.0,1.0,4.13559322,6.25373134,-2.11813812,0.3559322,0.3880597,-0.0321275,100.16666667,88.0952381,12.07142857,1.0,0.25,0.75,0.077614,2.63433301
15,PIT,1,7.0,1.0,1.0,2.0,61,267.0,20.0,-18.46936644,41,24.0,221.0,1.0,0.0,2.0,1.0,2.0,57,238.0,22.0,-18.29732594,22,12.0,143.0,1.0,2.0,0.0,0.0,1.0,4.37704918,4.1754386,0.20161058,0.32786885,0.38596491,-0.05809606,81.45325203,51.89393939,29.55931264,0.5,,,0.009115,0.86961142
16,PHI,1,2.0,1.0,0.0,0.0,51,320.0,18.0,3.6218342,25,14.0,203.0,3.0,0.0,3.0,2.0,0.0,68,295.0,29.0,4.07298181,35,18.0,164.0,2.0,0.0,3.0,3.0,0.0,6.2745098,4.33823529,1.93627451,0.35294118,0.42647059,-0.07352941,122.16666667,83.51190476,38.6547619,0.66666667,1.0,-0.33333333,0.00556,0.49369119
17,WAS,1,-2.0,0.0,0.0,0.0,68,295.0,29.0,4.07298181,35,18.0,164.0,2.0,0.0,3.0,3.0,0.0,51,320.0,18.0,3.6218342,25,14.0,203.0,3.0,0.0,3.0,2.0,0.0,4.33823529,6.2745098,-1.93627451,0.42647059,0.35294118,0.07352941,83.51190476,122.16666667,-38.6547619,1.0,0.66666667,0.33333333,-0.00556,-0.50055364
18,ATL,1,-7.0,0.0,2.0,1.0,57,238.0,22.0,-18.29732594,22,12.0,143.0,1.0,2.0,0.0,0.0,1.0,61,267.0,20.0,-18.46936644,41,24.0,221.0,1.0,0.0,2.0,1.0,-1.0,4.1754386,4.37704918,-0.20161058,0.38596491,0.32786885,0.05809606,51.89393939,81.45325203,-29.55931264,,0.5,,-0.009115,-0.87776135
19,GB,1,-17.0,0.0,2.0,1.0,67,419.0,26.0,-11.71332043,42,21.0,387.0,2.0,1.0,4.0,1.0,1.0,59,244.0,21.0,-1.15626362,25,15.0,151.0,3.0,1.0,4.0,4.0,-1.0,6.25373134,4.13559322,2.11813812,0.3880597,0.3559322,0.0321275,88.0952381,100.16666667,-12.07142857,0.25,1.0,-0.75,-0.077614,-2.64119546
20,NO,1,-1.0,0.0,3.0,1.0,86,469.0,36.0,-2.63822361,56,35.0,410.0,3.0,2.0,5.0,4.0,1.0,73,369.0,33.0,0.02991737,39,26.0,206.0,2.0,0.0,5.0,4.0,-2.0,5.45348837,5.05479452,0.39869385,0.41860465,0.45205479,-0.03345014,87.64880952,96.74145299,-9.09264347,0.8,0.8,0.0,-0.015543,-2.75298374
21,HOU,1,-5.0,0.0,2.0,0.0,73,381.0,34.0,5.03026168,38,26.0,274.0,2.0,0.0,5.0,4.0,0.0,52,410.0,21.0,11.92142885,30,20.0,334.0,2.0,0.0,3.0,1.0,-2.0,5.21917808,7.88461538,-2.6654373,0.46575342,0.40384615,0.06190727,106.68859649,126.25,-19.56140351,0.8,0.33333333,0.46666667,-0.080175,-3.87675643
22,TB,1,-6.0,0.0,4.0,1.0,51,283.0,24.0,-9.44590727,28,23.0,216.0,0.0,0.0,4.0,2.0,1.0,62,352.0,29.0,-0.09673059,35,25.0,254.0,1.0,1.0,5.0,2.0,-3.0,5.54901961,5.67741935,-0.12839975,0.47058824,0.46774194,0.0028463,98.80952381,89.46428571,9.3452381,0.5,0.4,0.1,-0.091827,-4.51715552
23,CAR,1,-22.0,0.0,2.0,2.0,62,478.0,30.0,11.25522244,38,23.0,361.0,3.0,1.0,4.0,4.0,2.0,70,552.0,38.0,28.65671864,29,21.0,269.0,2.0,0.0,4.0,4.0,0.0,7.70967742,7.88571429,-0.17603687,0.48387097,0.54285714,-0.05898618,107.45614035,124.06609195,-16.6099516,1.0,1.0,0.0,-0.113923,-5.79450543
24,MIA,1,-14.0,0.0,2.0,2.0,50,259.0,17.0,-11.79449429,27,15.0,220.0,0.0,1.0,3.0,1.0,2.0,64,296.0,27.0,-2.50554505,30,21.0,160.0,3.0,2.0,4.0,3.0,0.0,5.18,4.625,0.555,0.34,0.421875,-0.081875,66.89814815,88.19444444,-21.2962963,0.33333333,0.75,-0.41666667,-0.09837,-5.84993616
25,NE,1,-3.0,0.0,3.0,0.0,67,277.0,28.0,-7.34509413,33,23.0,178.0,1.0,3.0,2.0,1.0,0.0,47,286.0,19.0,3.08335009,24,17.0,200.0,1.0,0.0,2.0,0.0,-3.0,4.13432836,6.08510638,-1.95077802,0.41791045,0.40425532,0.01365513,54.86111111,109.72222222,-54.86111111,0.5,0.0,0.5,-0.087616,-7.01761676
26,DAL,1,-8.0,0.0,1.0,1.0,52,244.0,24.0,11.4748427,34,22.0,175.0,2.0,1.0,3.0,3.0,1.0,65,399.0,39.0,23.97714871,29,23.0,230.0,3.0,0.0,4.0,4.0,0.0,4.69230769,6.13846154,-1.44615385,0.46153846,0.6,-0.13846154,84.80392157,134.1954023,-49.39148073,1.0,1.0,0.0,-0.074105,-7.75067237
27,TEN,1,-13.0,0.0,1.0,0.0,49,195.0,22.0,-5.81256495,32,19.0,140.0,1.0,0.0,1.0,1.0,0.0,60,370.0,30.0,10.10100662,24,19.0,215.0,0.0,0.0,3.0,2.0,-1.0,3.97959184,6.16666667,-2.18707483,0.44897959,0.5,-0.05102041,80.20833333,103.99305556,-23.78472222,1.0,0.66666667,0.33333333,-0.143487,-7.9083641
28,LAC,1,-12.0,0.0,2.0,0.0,51,268.0,20.0,-12.44190918,27,17.0,209.0,1.0,1.0,3.0,2.0,0.0,69,396.0,34.0,9.94586079,37,27.0,277.0,1.0,0.0,5.0,2.0,-2.0,5.25490196,5.73913043,-0.48422847,0.39215686,0.49275362,-0.10059676,83.7191358,103.09684685,-19.37771104,0.66666667,0.4,0.26666667,-0.194051,-10.75594702
29,DEN,1,-21.0,0.0,2.0,1.0,46,177.0,17.0,-15.81725865,28,17.0,131.0,1.0,1.0,2.0,1.0,1.0,64,396.0,27.0,10.52334979,27,15.0,184.0,2.0,1.0,5.0,3.0,-1.0,3.84782609,6.1875,-2.33967391,0.36956522,0.421875,-0.05230978,69.19642857,86.03395062,-16.83752205,0.5,0.6,-0.1,-0.25414,-11.46625456
30,LA,1,-20.0,0.0,2.0,1.0,56,291.0,24.0,-14.81977971,28,17.0,168.0,0.0,1.0,3.0,1.0,1.0,64,379.0,36.0,11.44112393,34,25.0,205.0,3.0,1.0,3.0,2.0,-1.0,5.19642857,5.921875,-0.72544643,0.42857143,0.5625,-0.13392857,62.79761905,105.6372549,-42.83963585,0.33333333,0.66666667,-0.33333333,-0.221703,-12.84835907
31,IND,1,-18.0,0.0,2.0,1.0,53,251.0,22.0,-12.78553784,31,19.0,166.0,1.0,1.0,3.0,3.0,1.0,60,509.0,30.0,19.28903459,24,17.0,324.0,1.0,0.0,4.0,3.0,-1.0,4.73584906,8.48333333,-3.74748428,0.41509434,0.5,-0.08490566,72.78225806,127.08333333,-54.30107527,1.0,0.75,0.25,-0.28136,-14.82241707
32,CLE,1,-24.0,0.0,2.0,0.0,49,272.0,22.0,-9.02925433,22,16.0,205.0,1.0,1.0,2.0,0.0,0.0,53,363.0,32.0,17.92289199,23,18.0,245.0,4.0,0.0,2.0,2.0,-2.0,5.55102041,6.8490566,-1.2980362,0.44897959,0.60377358,-0.15479399,97.72727273,150.63405797,-52.90678524,0.0,1.0,-1.0,-0.261219,-15.85570583
