rank,team,games_played,point_margin_pg,win_pct,giveaways,takeaways,scrimmage_plays,scrimmage_yards,success_count,epa_sum,pass_attempts,completions,pass_yards,pass_tds,ints,redzone_trips,redzone_tds,opp_giveaways,opp_scrimmage_plays,opp_scrimmage_yards,opp_success_count,opp_epa_sum,opp_pass_attempts,opp_completions,opp_pass_yards,opp_pass_tds,opp_ints,opp_redzone_trips,opp_redzone_tds,turnover_margin_pg,off_ypp,def_ypp_allowed,ypp_diff,off_success_rate,def_success_rate_allowed,success_rate_diff,off_passer_rating,def_passer_rating_allowed,passer_rating_diff,off_redzone_td_pct,def_redzone_td_pct_allowed,redzone_td_pct_diff,adj_epa_rating,power_score
1,KC,8,10.375,0.625,4.0,9.0,508,3039.0,257.0,90.74484005,282,189.0,2099.0,17.0,4.0,34.0,24.0,9.0,418,2228.0,184.0,-21.8868743,223,155.0,1490.0,8.0,6.0,19.0,11.0,0.625,5.98228346,5.33014354,0.65213992,0.50590551,0.44019139,0.06571412,103.13238771,88.59304933,14.53933838,0.70588235,0.57894737,0.12693498,0.284243,12.07086434
2,LA,7,8.28571429,0.71428571,7.0,10.0,414,2537.0,203.0,30.77147499,240,160.0,1866.0,17.0,2.0,30.0,17.0,10.0,469,2201.0,198.0,-45.69504335,255,160.0,1629.0,8.0,4.0,20.0,8.0,0.42857143,6.12801932,4.69296375,1.43505557,0.49033816,0.42217484,0.06816332,110.17361111,84.91013072,25.26348039,0.56666667,0.4,0.16666667,0.233509,10.90123403
3,DET,7,9.14285714,0.71428571,5.0,11.0,418,2507.0,200.0,49.84499286,204,153.0,1634.0,16.0,3.0,29.0,21.0,11.0,411,2106.0,164.0,-40.05411648,240,150.0,1630.0,14.0,7.0,22.0,14.0,0.85714286,5.99760766,5.12408759,0.87352006,0.4784689,0.39902676,0.07944214,117.97385621,89.75694444,28.21691176,0.72413793,0.63636364,0.08777429,0.212116,10.67463716
4,IND,8,14.5,0.875,4.0,12.0,466,3095.0,236.0,112.160803,251,174.0,2071.0,13.0,3.0,38.0,26.0,12.0,508,2765.0,237.0,-14.30006121,312,204.0,2173.0,14.0,10.0,26.0,16.0,1.0,6.6416309,5.44291339,1.19871752,0.50643777,0.46653543,0.03990234,106.51560425,87.19284188,19.32276237,0.68421053,0.61538462,0.06882591,0.215379,9.73421368
5,HOU,7,7.14285714,0.42857143,7.0,11.0,434,2304.0,184.0,8.29058962,238,157.0,1646.0,11.0,5.0,19.0,8.0,11.0,388,1875.0,155.0,-49.56104338,218,126.0,1375.0,6.0,8.0,17.0,12.0,0.57142857,5.30875576,4.83247423,0.47628153,0.42396313,0.39948454,0.0244786,92.5245098,70.41284404,22.11166577,0.42105263,0.70588235,-0.28482972,0.200641,8.5447323
6,GB,7,6.14285714,0.71428571,3.0,4.0,419,2523.0,207.0,80.03536602,214,151.0,1798.0,13.0,2.0,30.0,21.0,4.0,441,2031.0,186.0,-6.12925921,273,185.0,1603.0,12.0,2.0,19.0,12.0,0.14285714,6.02147971,4.60544218,1.41603754,0.49403341,0.42176871,0.07226471,112.24688474,94.61996337,17.62692137,0.7,0.63157895,0.06842105,0.1426,7.44645168
7,PHI,8,2.875,0.75,3.0,7.0,448,2449.0,201.0,38.97030647,216,151.0,1677.0,15.0,1.0,20.0,17.0,7.0,495,2695.0,225.0,1.86259905,266,159.0,1803.0,8.0,5.0,26.0,12.0,0.5,5.46651786,5.44444444,0.02207341,0.44866071,0.45454545,-0.00588474,113.90817901,82.33082707,31.57735194,0.85,0.46153846,0.38846154,0.144865,6.3384506
8,DEN,8,7.0,0.75,7.0,8.0,506,2871.0,220.0,42.51841251,288,179.0,1803.0,15.0,5.0,27.0,19.0,8.0,493,2253.0,186.0,-37.72750569,258,146.0,1707.0,8.0,4.0,20.0,8.0,0.125,5.67391304,4.56997972,1.10393333,0.43478261,0.37728195,0.05750066,90.08969907,80.68475452,9.40494455,0.7037037,0.4,0.3037037,0.124946,6.16341571
9,BUF,7,8.71428571,0.71428571,6.0,8.0,430,2692.0,211.0,74.33916355,205,137.0,1614.0,12.0,4.0,28.0,18.0,8.0,402,2186.0,172.0,-10.15158501,189,122.0,1262.0,7.0,3.0,20.0,11.0,0.28571429,6.26046512,5.43781095,0.82265417,0.49069767,0.4278607,0.06283698,101.96138211,89.42901235,12.53236977,0.64285714,0.55,0.09285714,0.087969,5.17062559
10,SEA,7,8.14285714,0.71428571,11.0,9.0,400,2461.0,178.0,11.16559408,195,133.0,1769.0,12.0,5.0,25.0,17.0,9.0,459,2149.0,190.0,-16.28822916,278,180.0,1776.0,11.0,8.0,22.0,11.0,-0.28571429,6.1525,4.68191721,1.47058279,0.445,0.41394336,0.03105664,106.5491453,83.85791367,22.69123163,0.68,0.5,0.18,0.088124,4.68990935
11,TB,8,2.375,0.75,5.0,12.0,488,2591.0,201.0,9.17650549,271,172.0,1919.0,13.0,2.0,22.0,11.0,12.0,491,2573.0,213.0,-39.44658079,278,188.0,2025.0,11.0,7.0,19.0,12.0,0.875,5.30942623,5.24032587,0.06910036,0.41188525,0.43380855,-0.02192331,97.39391144,91.48681055,5.90710089,0.5,0.63157895,-0.13157895,0.130407,4.66475667
12,JAX,7,-1.28571429,0.57142857,6.0,14.0,451,2353.0,198.0,-2.0959935,258,152.0,1620.0,9.0,5.0,22.0,11.0,14.0,418,2370.0,182.0,-10.53587827,257,159.0,1779.0,15.0,10.0,21.0,13.0,1.14285714,5.2172949,5.66985646,-0.45256156,0.43902439,0.4354067,0.00361769,80.89470284,85.72470817,-4.83000533,0.5,0.61904762,-0.11904762,0.08383,3.28493851
13,NE,8,8.375,0.75,9.0,11.0,473,2843.0,221.0,53.61845046,228,171.0,2038.0,15.0,3.0,29.0,16.0,11.0,439,2406.0,196.0,-20.9774864,251,177.0,1915.0,12.0,7.0,17.0,12.0,0.25,6.01057082,5.48063781,0.52993301,0.46723044,0.44646925,0.0207612,118.2748538,96.95385126,21.32100254,0.55172414,0.70588235,-0.15415822,0.050333,3.22374154
14,LAC,8,1.875,0.625,11.0,8.0,520,3037.0,237.0,23.7358464,299,204.0,2184.0,16.0,7.0,28.0,13.0,8.0,452,2383.0,187.0,-2.49158389,251,154.0,1599.0,8.0,7.0,27.0,14.0,-0.375,5.84038462,5.27212389,0.56826072,0.45576923,0.41371681,0.04205242,97.45680045,78.75996016,18.69684029,0.46428571,0.51851852,-0.0542328,0.045039,3.04051514
15,SF,8,-0.5,0.625,12.0,7.0,516,2801.0,246.0,8.1018144,298,197.0,2183.0,12.0,9.0,25.0,13.0,7.0,487,2703.0,229.0,15.7283362,268,182.0,1894.0,13.0,1.0,25.0,13.0,-0.625,5.42829457,5.55030801,-0.12201343,0.47674419,0.47022587,0.00651831,88.53467562,102.73631841,-14.20164279,0.52,0.52,0.0,0.044831,0.66930561
16,CHI,7,-2.42857143,0.57142857,6.0,16.0,432,2463.0,188.0,11.13454649,228,140.0,1663.0,9.0,4.0,23.0,11.0,16.0,399,2460.0,189.0,-4.74548811,196,140.0,1516.0,16.0,11.0,25.0,16.0,1.42857143,5.70138889,6.16541353,-0.46402464,0.43518519,0.47368421,-0.03849903,89.49195906,97.66156463,-8.16960556,0.47826087,0.64,-0.16173913,0.002276,-0.32585887
17,WAS,8,-1.375,0.375,10.0,5.0,460,2684.0,214.0,8.94242662,232,145.0,1670.0,12.0,5.0,20.0,15.0,5.0,496,2999.0,220.0,37.41849478,250,163.0,2087.0,15.0,4.0,28.0,18.0,-0.625,5.83478261,6.04637097,-0.21158836,0.46521739,0.44354839,0.021669,92.42097701,104.53333333,-12.11235632,0.75,0.64285714,0.10714286,-0.035633,-1.62377005
18,BAL,7,-5.14285714,0.28571429,10.0,4.0,381,2214.0,168.0,0.65215277,185,129.0,1426.0,11.0,5.0,24.0,11.0,4.0,457,2670.0,222.0,65.24752852,256,173.0,1817.0,14.0,2.0,33.0,22.0,-0.85714286,5.81102362,5.84245077,-0.03142714,0.44094488,0.48577681,-0.04483192,100.86711712,102.94596354,-2.07884642,0.45833333,0.66666667,-0.20833333,-0.006893,-1.85115171
19,ARI,7,-0.14285714,0.28571429,8.0,7.0,440,2174.0,181.0,0.62620993,242,162.0,1561.0,10.0,4.0,27.0,15.0,7.0,438,2363.0,206.0,8.03309671,263,169.0,1724.0,8.0,4.0,25.0,15.0,-0.14285714,4.94090909,5.39497717,-0.45406808,0.41136364,0.47031963,-0.058956,91.6322314,86.74746515,4.88476626,0.55555556,0.6,-0.04444444,-0.028167,-2.22581152
20,DAL,8,-0.5,0.375,8.0,7.0,509,3078.0,239.0,73.58001642,299,210.0,2168.0,17.0,6.0,31.0,20.0,7.0,512,3254.0,261.0,84.19120051,269,183.0,2185.0,20.0,4.0,32.0,22.0,-0.125,6.04715128,6.35546875,-0.30831747,0.46954813,0.50976562,-0.04021749,101.41443701,111.20662949,-9.79219248,0.64516129,0.6875,-0.04233871,-0.030287,-2.4264163
21,PIT,7,0.0,0.57142857,6.0,10.0,376,2087.0,168.0,24.08880714,211,144.0,1501.0,16.0,5.0,19.0,14.0,10.0,478,2718.0,218.0,39.91956635,276,185.0,2054.0,13.0,5.0,28.0,14.0,0.57142857,5.55053191,5.68619247,-0.13566055,0.44680851,0.45606695,-0.00925843,103.99881517,97.10144928,6.89736589,0.73684211,0.5,0.23684211,-0.101338,-2.97555985
22,ATL,7,-4.85714286,0.42857143,9.0,7.0,432,2406.0,189.0,-22.86692641,233,145.0,1611.0,5.0,3.0,20.0,9.0,7.0,389,1935.0,178.0,-3.16631034,183,113.0,1139.0,11.0,6.0,16.0,11.0,-0.28571429,5.56944444,4.97429306,0.59515139,0.4375,0.45758355,-0.02008355,84.54041488,85.8492714,-1.30885652,0.45,0.6875,-0.2375,-0.077781,-3.17652779
23,NYG,8,-5.25,0.25,9.0,5.0,510,2607.0,210.0,-16.8441147,254,151.0,1770.0,11.0,6.0,27.0,13.0,5.0,514,3074.0,242.0,51.38250782,296,190.0,2006.0,13.0,4.0,25.0,17.0,-0.5,5.11176471,5.98054475,-0.86878004,0.41176471,0.47081712,-0.05905241,85.25262467,92.82094595,-7.56832127,0.48148148,0.68,-0.19851852,-0.060598,-4.13866822
24,CAR,8,-4.75,0.5,11.0,8.0,508,2542.0,229.0,-23.59627997,260,163.0,1581.0,12.0,6.0,24.0,14.0,8.0,443,2487.0,180.0,30.05207067,243,155.0,1676.0,11.0,6.0,24.0,14.0,-0.375,5.00393701,5.61399549,-0.61005848,0.4507874,0.40632054,0.04446686,85.43269231,88.77743484,-3.34474253,0.58333333,0.58333333,0.0,-0.173635,-5.36066922
25,NO,8,-10.125,0.125,12.0,10.0,505,2361.0,215.0,-70.49078972,287,192.0,1733.0,8.0,7.0,21.0,9.0,10.0,478,2577.0,214.0,10.40946877,225,153.0,1671.0,14.0,4.0,26.0,15.0,-0.25,4.67524752,5.39121339,-0.71596586,0.42574257,0.44769874,-0.02195617,82.12108014,103.02777778,-20.90669764,0.42857143,0.57692308,-0.14835165,-0.127682,-5.91644838
26,MIN,7,-1.0,0.42857143,11.0,9.0,401,2081.0,178.0,-43.22542037,221,140.0,1591.0,9.0,8.0,22.0,12.0,9.0,412,2237.0,177.0,-10.00119846,185,127.0,1428.0,11.0,3.0,21.0,11.0,-0.28571429,5.18952618,5.42961165,-0.24008547,0.44389027,0.42961165,0.01427862,83.36161388,104.51576577,-21.15415189,0.54545455,0.52380952,0.02164502,-0.163254,-6.22894503
